Country Name,Country Code,Continent,Life Expectation,OECD
Aruba,ABW,South America,76.152,FALSE
Afghanistan,AFG,Africa,64.486,FALSE
Angola,AGO,Africa,60.782,FALSE
Albania,ALB,Europe,78.458,FALSE
United Arab Emirates,ARE,Middle East,77.814,FALSE
Argentina,ARG,South America,76.52,FALSE
Armenia,ARM,Europe,74.945,FALSE
Antigua and Barbuda,ATG,South America,76.885,FALSE
Australia,AUS,Oceania,82.74878049,TRUE
Austria,AUT,Europe,81.64390244,TRUE
Azerbaijan,AZE,Europe,72.864,FALSE
Burundi,BDI,Africa,61.247,FALSE
Belgium,BEL,Europe,81.59512195,TRUE
Benin,BEN,Africa,61.47,FALSE
Burkina Faso,BFA,Africa,61.174,FALSE
Bangladesh,BGD,Asia,72.32,FALSE
Bulgaria,BGR,Europe,74.86585366,FALSE
Bahrain,BHR,Asia,77.163,FALSE
"Bahamas, The",BHS,North America,73.752,FALSE
Bosnia and Herzegovina,BIH,Europe,77.262,FALSE
Belarus,BLR,Europe,74.17560976,FALSE
Belize,BLZ,North America,74.496,FALSE
Bermuda,BMU,North America,81.65170732,FALSE
Bolivia,BOL,South America,71.239,FALSE
Brazil,BRA,South America,75.672,FALSE
Barbados,BRB,South America,79.081,FALSE
Brunei Darussalam,BRN,Asia,75.722,FALSE
Bhutan,BTN,Asia,71.46,FALSE
Botswana,BWA,Africa,69.275,FALSE
Canada,CAN,North America,81.94878049,TRUE
Switzerland,CHE,Europe,83.55121951,TRUE
Channel Islands,CHI,Europe,82.928,FALSE
Chile,CHL,South America,80.042,TRUE
China,CHN,Asia,76.704,FALSE
Cote d'Ivoire,CIV,Africa,57.422,FALSE
Cameroon,CMR,Africa,58.921,FALSE
"Congo, Dem. Rep.",COD,Africa,60.368,FALSE
"Congo, Rep.",COG,Africa,64.29,FALSE
Colombia,COL,South America,77.109,TRUE
Comoros,COM,Africa,64.118,FALSE
Cabo Verde,CPV,Africa,72.782,FALSE
Costa Rica,CRI,North America,80.095,FALSE
Cuba,CUB,North America,78.726,FALSE
Cyprus,CYP,Europe,80.828,FALSE
Czech Republic,CZE,Europe,78.97804878,TRUE
Germany,DEU,Europe,80.99268293,TRUE
Djibouti,DJI,Africa,66.582,FALSE
Denmark,DNK,Europe,81.35121951,TRUE
Dominican Republic,DOM,North America,73.892,FALSE
Algeria,DZA,Africa,76.693,FALSE
Ecuador,ECU,South America,76.8,FALSE
"Egypt, Arab Rep.",EGY,Africa,71.825,FALSE
Eritrea,ERI,Africa,65.941,FALSE
Spain,ESP,Europe,83.33414634,TRUE
Estonia,EST,Europe,78.54390244,TRUE
Ethiopia,ETH,Africa,66.24,FALSE
Finland,FIN,Europe,81.83414634,TRUE
Fiji,FJI,Oceania,67.341,FALSE
France,FRA,Europe,82.52682927,TRUE
Faroe Islands,FRO,Europe,82.54878049,FALSE
"Micronesia, Fed. Sts.",FSM,Oceania,67.755,FALSE
Gabon,GAB,Africa,66.187,FALSE
United Kingdom,GBR,Europe,81.35609756,TRUE
Georgia,GEO,Europe,73.6,FALSE
Ghana,GHA,Africa,63.78,FALSE
Guinea,GIN,Africa,61.185,FALSE
"Gambia, The",GMB,Africa,61.735,FALSE
Guinea-Bissau,GNB,Africa,58.003,FALSE
Greece,GRC,Europe,81.28780488,TRUE
Grenada,GRD,South America,72.384,FALSE
Guatemala,GTM,South America,74.063,FALSE
Guam,GUM,Asia,79.859,FALSE
Guyana,GUY,South America,69.774,FALSE
Hong Kong,HKG,Asia,84.93414634,FALSE
Honduras,HND,South America,75.088,FALSE
Croatia,HRV,Europe,78.07073171,FALSE
Haiti,HTI,South America,63.66,FALSE
Hungary,HUN,Europe,75.81707317,TRUE
Indonesia,IDN,Asia,71.509,FALSE
India,IND,Middle East,69.416,FALSE
Ireland,IRL,Europe,82.60731707,TRUE
Iran,IRN,Middle East,76.479,FALSE
Iraq,IRQ,Africa,70.454,FALSE
Iceland,ISL,Europe,82.66097561,TRUE
Israel,ISR,Middle East,82.80243902,TRUE
Italy,ITA,Europe,82.94634146,TRUE
Jamaica,JAM,Africa,74.368,FALSE
Jordan,JOR,Africa,74.405,FALSE
Japan,JPN,Asia,84.21097561,TRUE
Kazakhstan,KAZ,Asia,73.15,FALSE
Kenya,KEN,Africa,66.342,FALSE
Kyrgyz Republic,KGZ,Asia,71.4,FALSE
Cambodia,KHM,Asia,69.57,FALSE
Kiribati,KIR,Oceania,68.116,FALSE
"Korea, Rep.",KOR,Asia,82.62682927,TRUE
Kuwait,KWT,Middle East,75.398,FALSE
Laos,LAO,Asia,67.61,FALSE
