구분,대인,소인,계
2007-01-01,0,0,0
2007-01-02,59,34,93
2007-01-03,55,85,140
2007-01-04,70,116,186
2007-01-05,82,75,157
2007-01-06,130,129,259
2007-01-07,165,116,281
2007-01-08,0,0,0
2007-01-09,63,276,339
2007-01-10,43,132,175
2007-01-11,47,147,194
2007-01-12,83,151,234
2007-01-13,117,162,279
2007-01-14,192,72,264
2007-01-15,0,0,0
2007-01-16,55,41,96
2007-01-17,82,80,162
2007-01-18,56,110,166
2007-01-19,51,74,125
2007-01-20,165,123,288
2007-01-21,219,171,390
2007-01-22,0,0,0
2007-01-23,44,74,118
2007-01-24,55,35,90
2007-01-25,42,50,92
2007-01-26,30,247,277
2007-01-27,0,884,884
2007-01-28,185,95,280
2007-01-29,0,0,0
2007-01-30,68,105,173
2007-01-31,90,126,216
2007-02-01,25,42,67
2007-02-02,28,147,175
2007-02-03,250,533,783
2007-02-04,333,482,815
2007-02-05,0,0,0
2007-02-06,57,83,140
2007-02-07,54,46,100
2007-02-08,46,204,250
2007-02-09,34,92,126
2007-02-10,104,269,373
2007-02-11,212,136,348
2007-02-12,0,0,0
2007-02-13,19,55,74
2007-02-14,32,33,65
2007-02-15,41,34,75
2007-02-16,12,30,42
2007-02-17,131,506,637
2007-02-18,180,638,818
2007-02-19,152,564,716
2007-02-20,36,38,74
2007-02-21,41,26,67
2007-02-22,28,31,59
2007-02-23,60,44,104
2007-02-24,0,1333,1333
2007-02-25,139,114,253
2007-02-26,0,0,0
2007-02-27,37,339,376
2007-02-28,56,127,183
2007-03-01,167,139,306
2007-03-02,23,30,53
2007-03-03,138,134,272
2007-03-04,440,158,598
2007-03-05,0,0,0
2007-03-06,12,25,37
2007-03-07,6,20,26
2007-03-08,4,77,81
2007-03-09,13,37,50
2007-03-10,110,487,597
2007-03-11,156,98,254
2007-03-12,0,0,0
2007-03-13,5,25,30
2007-03-14,12,42,54
2007-03-15,6,35,41
2007-03-16,55,46,101
2007-03-17,69,72,141
2007-03-18,119,88,207
2007-03-19,0,0,0
2007-03-20,5,11,16
2007-03-21,20,42,62
2007-03-22,51,25,76
2007-03-23,110,32,142
2007-03-24,0,697,697
2007-03-25,254,157,411
2007-03-26,0,0,0
2007-03-27,40,18,58
2007-03-28,56,17,73
2007-03-29,9,32,41
2007-03-30,53,22,75
2007-03-31,111,65,176
2007-04-01,213,86,299
2007-04-02,0,0,0
2007-04-03,10,18,28
2007-04-04,20,15,35
2007-04-05,43,17,60
2007-04-06,11,16,27
2007-04-07,129,340,469
2007-04-08,166,59,225
2007-04-09,0,0,0
2007-04-10,36,189,225
2007-04-11,172,55,227
2007-04-12,14,49,63
2007-04-13,60,84,144
2007-04-14,134,379,513
2007-04-15,168,79,247
