노선번호,노선명,노선별정류장순번,정류장번호,정류장명,LOCALX,LOCALY,데이터기준일
250000100,1,1,250026520 ,한림성심대학교,127.7551 ,37.8984 ,2020-04-21
250000100,1,2,250001755 ,강원중학교,127.7558 ,37.8951 ,2020-04-21
250000100,1,3,250026778 ,장학교차로,127.7556 ,37.8939 ,2020-04-21
250000100,1,4,250026830 ,장학부영A,127.7527 ,37.8964 ,2020-04-21
250000100,1,5,250001211 ,후평동종점,127.7487 ,37.8932 ,2020-04-21
250000100,1,6,250001377 ,춘천기계공고,127.7490 ,37.8911 ,2020-04-21
250000100,1,7,250001873 ,정부합동청사,127.7493 ,37.8889 ,2020-04-21
250000100,1,8,250001505 ,동광오거리,127.7495 ,37.8853 ,2020-04-21
250000100,1,9,250001277 ,후평환승센터,127.7486 ,37.8835 ,2020-04-21
250000100,1,10,250001295 ,포스코더샵A,127.7485 ,37.8816 ,2020-04-21
250000100,1,11,250001786 ,충인교회,127.7500 ,37.8795 ,2020-04-21
250000100,1,12,250001853 ,일성트루엘A,127.7485 ,37.8775 ,2020-04-21
250000100,1,13,250002238 ,푸른언덕공원,127.7455 ,37.8762 ,2020-04-21
250000100,1,14,250001750 ,강원대학병원,127.7429 ,37.8747 ,2020-04-21
250000100,1,15,250001678 ,춘천청소년수련관,127.7410 ,37.8744 ,2020-04-21
250000100,1,16,250001230 ,중부지구대,127.7379 ,37.8758 ,2020-04-21
250000100,1,17,250001545 ,동부시장,127.7343 ,37.8766 ,2020-04-21
250000100,1,18,250001914 ,육림고개,127.7307 ,37.8772 ,2020-04-21
250000100,1,19,250002077 ,명동입구,127.7287 ,37.8796 ,2020-04-21
250000100,1,20,250002029 ,명동입구,127.7267 ,37.8797 ,2020-04-21
250000100,1,21,250001848 ,중앙시장/중앙초교,127.7250 ,37.8784 ,2020-04-21
250000100,1,22,250001202 ,중앙시장환승센터,127.7231 ,37.8771 ,2020-04-21
250000100,1,23,250001349 ,춘천시보건소,127.7208 ,37.8762 ,2020-04-21
250000100,1,24,250001353 ,춘천중학교,127.7177 ,37.8753 ,2020-04-21
250000100,1,25,250001350 ,엘타워/미소지움,127.7170 ,37.8740 ,2020-04-21
250000100,1,26,250001986 ,미소지움/방송대,127.7201 ,37.8733 ,2020-04-21
250000100,1,27,250002027 ,모아엘가A,127.7231 ,37.8721 ,2020-04-21
250000100,1,28,250001626 ,남부시장,127.7260 ,37.8706 ,2020-04-21
250000100,1,29,250026603 ,수협,127.7279 ,37.8697 ,2020-04-21
250000100,1,30,250002023 ,양우A,127.7305 ,37.8683 ,2020-04-21
250000100,1,31,250002239 ,춘천지방법원,127.7341 ,37.8661 ,2020-04-21
250000100,1,32,250001751 ,춘천사회혁신센터,127.7363 ,37.8642 ,2020-04-21
250000100,1,33,250002136 ,석사A,127.7390 ,37.8628 ,2020-04-21
250000100,1,34,250002148 ,석사4거리,127.7433 ,37.8612 ,2020-04-21
250000100,1,35,250002147 ,석사교회,127.7448 ,37.8596 ,2020-04-21
250000100,1,36,250001386 ,교육대학교,127.7471 ,37.8572 ,2020-04-21
250000100,1,37,250002016 ,여성가족연구원,127.7487 ,37.8558 ,2020-04-21
250000100,1,38,250002138 ,석사삼익A,127.7510 ,37.8531 ,2020-04-21
250000100,1,39,250002145 ,석사극동A,127.7527 ,37.8510 ,2020-04-21
250000100,1,40,250001273 ,장애인종합복지관,127.7555 ,37.8470 ,2020-04-21
250000100,1,41,250001354 ,학곡2리,127.7587 ,37.8401 ,2020-04-21
250000100,1,42,250001282 ,학곡리종점,127.7603 ,37.8349 ,2020-04-21
250000100,1,43,250001167 ,원창고개입구,127.7631 ,37.8323 ,2020-04-21
250000100,1,44,250027094 ,춘천자원,127.7640 ,37.8279 ,2020-04-21
250000100,1,45,250026776 ,학곡리,127.7631 ,37.8228 ,2020-04-21
250000100,1,46,250027084 ,학곡리,127.7635 ,37.8227 ,2020-04-21
250000100,1,47,250026772 ,사암4리,127.7641 ,37.8237 ,2020-04-21
250000100,1,48,250027095 ,춘천자원,127.7641 ,37.8283 ,2020-04-21
250000100,1,49,250001166 ,학곡리,127.7632 ,37.8324 ,2020-04-21
250000100,1,50,250001283 ,학곡리종점,127.7604 ,37.8350 ,2020-04-21
250000100,1,51,250001355 ,학곡2리,127.7588 ,37.8402 ,2020-04-21
250000100,1,52,250001274 ,장애인종합복지관,127.7553 ,37.8474 ,2020-04-21
250000100,1,53,250002146 ,석사극동A,127.7528 ,37.8512 ,2020-04-21
250000100,1,54,250002139 ,초록지붕A,127.7512 ,37.8532 ,2020-04-21
250000100,1,55,250001527 ,로데오거리,127.7505 ,37.8542 ,2020-04-21
250000100,1,56,250002015 ,여성가족연구원,127.7485 ,37.8561 ,2020-04-21
250000100,1,57,250001385 ,교육대학교,127.7464 ,37.8582 ,2020-04-21
250000100,1,58,250002140 ,석사사거리,127.7451 ,37.8595 ,2020-04-21
250000100,1,59,250001546 ,동보A,127.7422 ,37.8618 ,2020-04-21
250000100,1,60,250002137 ,석사A,127.7393 ,37.8629 ,2020-04-21
250000100,1,61,250001752 ,병무청앞,127.7351 ,37.8655 ,2020-04-21
250000100,1,62,250002024 ,양우A,127.7315 ,37.8680 ,2020-04-21
250000100,1,63,250001276 ,한국토지주택공사,127.7292 ,37.8693 ,2020-04-21
250000100,1,64,250001627 ,남부시장,127.7275 ,37.8701 ,2020-04-21
250000100,1,65,250002028 ,모아엘가A,127.7236 ,37.8721 ,2020-04-21
250000100,1,66,250001987 ,방송통신대입구,127.7212 ,37.8733 ,2020-04-21
250000100,1,67,250001351 ,춘천중학교정문,127.7181 ,37.8740 ,2020-04-21
250000100,1,68,250001352 ,춘천중학교,127.7172 ,37.8749 ,2020-04-21
250000100,1,69,250001348 ,춘천초등학교,127.7210 ,37.8761 ,2020-04-21
250000100,1,70,250001847 ,중앙시장환승센터,127.7242 ,37.8775 ,2020-04-21
250000100,1,71,250001498 ,명동입구,127.7263 ,37.8791 ,2020-04-21
250000100,1,72,250002076 ,명동입구,127.7291 ,37.8787 ,2020-04-21
250000100,1,73,250001913 ,육림고개,127.7304 ,37.8772 ,2020-04-21
250000100,1,74,250001544 ,동부시장,127.7335 ,37.8763 ,2020-04-21
250000100,1,75,250001229 ,중부지구대,127.7383 ,37.8754 ,2020-04-21
250000100,1,76,250001677 ,춘천청소년수련관,127.7414 ,37.8740 ,2020-04-21
250000100,1,77,250001749 ,강원대학병원,127.7431 ,37.8748 ,2020-04-21
250000100,1,78,250002237 ,푸른언덕공원,127.7463 ,37.8764 ,2020-04-21
250000100,1,79,250001205 ,후평중학교,127.7484 ,37.8773 ,2020-04-21
250000100,1,80,250001785 ,신한은행후평동지점,127.7504 ,37.8793 ,2020-04-21
250000100,1,81,250001292 ,포스코더샵A,127.7495 ,37.8806 ,2020-04-21
250000100,1,82,250001278 ,후평환승센터,127.7489 ,37.8835 ,2020-04-21
250000100,1,83,250001506 ,동광오거리,127.7495 ,37.8847 ,2020-04-21
250000100,1,84,250001874 ,정부합동청사,127.7497 ,37.8884 ,2020-04-21
250000100,1,85,250001378 ,기계공고,127.7492 ,37.8915 ,2020-04-21
250000100,1,86,250001212 ,후평동종점,127.7489 ,37.8938 ,2020-04-21
250000100,1,87,250026831 ,장학LH1단지,127.7526 ,37.8964 ,2020-04-21
250000100,1,88,250001756 ,강원고교,127.7559 ,37.8951 ,2020-04-21
250000100,1,89,250026521 ,한림성심대학교,127.7552 ,37.8984 ,2020-04-21
250000200,2,1,250026520 ,한림성심대학교,127.7551 ,37.8984 ,2020-04-21
250000200,2,2,250001755 ,강원중학교,127.7558 ,37.8951 ,2020-04-21
250000200,2,3,250026778 ,장학교차로,127.7556 ,37.8939 ,2020-04-21
250000200,2,4,250001754 ,강동농협장학지점,127.7532 ,37.8918 ,2020-04-21
250000200,2,5,250026617 ,공단입구,127.7499 ,37.8910 ,2020-04-21
250000200,2,6,250001563 ,도민일보,127.7449 ,37.8905 ,2020-04-21
250000200,2,7,250001540 ,동산A,127.7421 ,37.8892 ,2020-04-21
250000200,2,8,250002229 ,봉의A,127.7449 ,37.8868 ,2020-04-21
