"죄종별(1)",죄종별(2),죄종별(3),2011,2012,2013,2014,2015,2016,2017,2018
"죄종별(1)",죄종별(2),죄종별(3),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건)
"총계",소계,소계,55061,59087,58533,53722,56928,58814,53171,45233
"강력범죄",살인기수,소계,10,17,25,11,12,13,13,17
"강력범죄",살인기수,살인,9,14,22,11,9,10,13,13
"강력범죄",살인기수,영아살해,-,-,-,-,-,1,-,-
"강력범죄",살인기수,존속살해,1,1,1,-,2,1,-,3
"강력범죄",살인기수,촉탁·승낙살인,-,-,-,-,-,-,-,-
"강력범죄",살인기수,자살교사·방조,-,2,2,-,1,1,-,1
"강력범죄",살인기수,위계·위력·촉탁·승낙살인,-,-,-,-,-,-,-,-
"강력범죄",살인기수,특가법(보복살인등),-,-,-,-,-,-,-,-
"강력범죄",살인미수등,소계,22,12,23,14,21,15,19,8
"강력범죄",살인미수등,살인,22,10,20,13,18,14,18,8
"강력범죄",살인미수등,영아살해,-,-,-,-,1,-,-,-
"강력범죄",살인미수등,존속살해,-,1,3,1,2,1,-,-
"강력범죄",살인미수등,촉탁·승낙살인,-,-,-,-,-,-,-,-
"강력범죄",살인미수등,자살교사·방조,-,1,-,-,-,-,1,-
"강력범죄",살인미수등,위계·위력·촉탁·승낙살인,-,-,-,-,-,-,-,-
"강력범죄",강도,소계,76,50,38,56,35,28,27,16
"강력범죄",강도,강도,15,2,3,4,9,4,8,3
"강력범죄",강도,준강도,4,1,2,7,5,4,4,3
"강력범죄",강도,특수강도,25,18,13,23,6,12,4,5
"강력범죄",강도,준특수강도,1,-,-,-,-,1,-,-
"강력범죄",강도,강도상해·치상,27,27,17,21,14,7,9,4
"강력범죄",강도,강도살인·치사,2,1,1,-,1,-,1,1
"강력범죄",강도,해상강도(살인·치사·상해·치상),-,-,-,-,-,-,-,-
"강력범죄",강도,인질강도,1,-,-,-,-,-,-,-
"강력범죄",강도,강도강간,1,1,1,1,-,-,1,-
"강력범죄",강도,(특수·인질·해상)강도(상습),-,-,-,-,-,-,-,-
"강력범죄",강도,특가법(강도),-,-,1,-,-,-,-,-
"강력범죄",강도,특가법(강도상해재범),-,-,-,-,-,-,-,-
"강력범죄",강간·강제추행,소계,527,526,-,-,-,-,-,-
"강력범죄",강간·강제추행,강간,67,59,-,-,-,-,-,-
"강력범죄",강간·강제추행,강제추행(준),183,219,-,-,-,-,-,-
"강력범죄",강간·강제추행,준강간,10,10,-,-,-,-,-,-
"강력범죄",강간·강제추행,강간등상해·치상,-,42,-,-,-,-,-,-
"강력범죄",강간·강제추행,강간등살인·치사,-,-,-,-,-,-,-,-
"강력범죄",강간·강제추행,강간등상해,13,-,-,-,-,-,-,-
"강력범죄",강간·강제추행,강간치상(준),26,-,-,-,-,-,-,-
"강력범죄",강간·강제추행,강간치사(준),-,-,-,-,-,-,-,-
