date,sj3 sold,sj3 lease,sj4 sold,sj4 lease,sj5 sold,sj5 lease,sj7 sold,sj7 lease,sj10 sold,sj10 lease,dg sold,dg lease,cs1 sold,cs1 lease,cs2 sold,cs2 lease,cbi sold,cbi lease,dc sold,dc lease
2020.11,"42,000","12,500","39,500","13,000","60,500","11,000","52,000","17,250","44,500","15,000","55,750","29,500","42,500","17,000","43,500","16,500","86,000","52,500","69,000","34,000"
2020.10,"42,000","12,500","39,500","13,000","59,500","11,000","52,000","16,250","44,000","15,000","55,750","29,500","41,000","17,000","43,000","16,500","85,750","51,000","65,000","30,000"
2020.09,"42,000","12,500","38,000","13,000","59,500","11,000","52,000","16,250","44,000","15,000","55,500","29,000","41,000","16,000","42,000","16,000","83,000","48,500","64,000","25,000"
2020.08,"41,500","12,000","36,750","13,000","59,000","11,000","52,000","15,750","41,000","15,000","55,500","28,500","40,000","16,000","40,750","16,000","80,500","44,500","64,000","25,000"
2020.07,"41,000","12,000","32,750","13,000","56,500","11,000","50,500","15,250","40,000","14,500","55,000","28,500","39,000","16,000","39,500","16,000","79,500","42,500","61,000","25,000"
2020.06,"40,000","12,000","31,500","13,000","53,000","11,000","47,000","15,000","39,000","14,500","54,000","28,500","37,000","16,000","38,750","16,000","77,000","42,500","59,000","25,000"
2020.05,"38,000","12,000","31,000","13,000","51,000","11,000","45,500","14,500","38,000","14,500","50,500","28,500","36,500","16,000","37,750","16,000","77,000","42,500","59,000","25,000"
2020.04,"38,000","12,000","31,000","13,000","48,500","11,000","45,000","14,500","37,000","14,500","46,500","28,500","36,000","16,000","37,250","16,000","74,500","42,500","59,000","25,000"
2020.03,"38,000","12,000","30,000","13,000","48,500","11,000","44,000","14,500","37,000","14,500","46,500","28,500","36,000","16,000","37,250","16,000","74,500","42,500","59,000","25,000"
2020.02,"36,000","11,750","30,000","13,000","47,500","11,000","43,750","14,500","36,500","14,500","45,500","28,500","34,250","16,000","35,500","16,000","73,000","42,500","57,000","25,000"
2020.01,"35,500","11,750","29,500","13,000","47,500","11,000","42,500","14,500","36,250","14,500","43,500","28,500","34,250","16,000","35,000","16,000","72,500","42,500","55,000","25,000"
2019.12,"34,000","11,750","29,500","13,000","47,000","11,000","42,000","14,500","36,250","14,500","43,500","28,500","33,750","16,000","34,500","16,000","71,000","42,500","55,000","25,000"
2019.11,"32,500","11,750","29,500","13,000","45,000","11,000","40,500","14,500","35,750","14,500","43,500","28,500","33,500","16,000","33,750","16,000","70,500","42,000","55,000","25,000"
2019.10,"32,500","11,750","29,500","13,000","44,500","11,000","40,000","14,500","35,750","14,500","43,500","28,500","33,500","16,000","33,750","16,000","70,000","42,000","55,000","25,000"
2019.09,"30,500","11,750","29,250","13,000","46,000","11,000","39,000","14,500","35,750","14,500","42,000","28,500","33,500","16,000","33,750","16,000","70,000","42,000","56,000","25,000"
2019.08,"30,500","11,750","29,250","13,000","46,000","11,000","39,000","14,500","35,750","14,500","42,000","28,500","34,000","16,000","34,250","16,000","69,000","42,000","56,000","25,000"
2019.07,"30,500","11,750","29,250","13,000","44,500","11,000","38,000","14,500","35,500","14,500","42,000","28,500","34,000","16,000","34,250","16,000","69,000","42,000","53,000","25,000"
2019.06,"30,500","11,750","29,250","13,000","42,500","11,000","37,000","14,500","35,500","14,500","42,000","28,500","34,000","16,000","34,250","16,000","68,500","42,000","53,000","25,000"
2019.05,"30,500","11,750","29,250","13,000","38,500","11,000","37,000","14,500","35,500","14,500","42,000","28,500","35,500","16,000","34,250","16,000","67,000","42,000","53,000","25,000"
2019.04,"30,500","11,750","29,250","13,000","39,000","11,000","37,000","14,500","35,500","14,500","42,000","28,500","35,500","16,000","34,500","16,000","67,000","42,000","53,000","25,000"
2019.03,"31,000","11,750","29,250","13,000","39,000","11,000","37,000","14,500","35,500","14,500","42,000","28,500","35,500","16,000","34,500","16,000","67,000","42,000","49,000","25,000"
2019.02,"31,000","11,750","29,250","13,000","41,000","11,000","37,000","14,500","35,500","14,500","42,000","28,500","35,500","16,250","34,500","16,000","67,000","42,000","49,000","25,000"
2019.01,"31,000","11,750","29,250","13,000","41,000","11,000","37,000","14,500","35,500","14,500","42,000","28,500","35,500","16,250","34,500","16,000","67,000","42,000","49,000","25,000"
2018.12,"31,000","11,750","29,250","13,000","41,000","11,000","37,000","14,500","35,500","14,500","41,500","28,500","35,500","16,000","34,500","16,250","67,000","42,000","49,000","25,000"
2018.11,"31,000","11,750","29,250","13,000","41,000","11,000","37,000","14,500","35,500","14,500","41,500","28,500","35,000","16,000","34,000","16,250","67,000","42,000","49,000","25,000"
2018.10,"31,000","11,750","29,250","13,000","41,000","11,000","37,000","14,500","35,500","14,500","41,500","28,500","32,500","16,000","34,000","16,250","67,000","42,000","49,000","25,000"
