번호,시도명,시군구명,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
65,강원도,춘천시,춘천시,강원도 춘천시 애막골길11번길 10  (석사동),강원도 춘천시 석사동 742-11,생활방범,1,200,360도전방면,30,2010-12,033-250-3463,37.86540256,127.7515232,2019-07-29,4180000,강원도 춘천시
66,강원도,춘천시,춘천시,강원도 춘천시 후석로46번길 20  (석사동),강원도 춘천시 석사동 662,생활방범,1,200,360도전방면,30,2010-12,033-250-3463,37.85762775,127.7435827,2019-07-29,4180000,강원도 춘천시
67,강원도,춘천시,춘천시,강원도 춘천시 남춘로36번길 63  (퇴계동),강원도 춘천시 퇴계동 946-8,생활방범,1,200,360도전방면,30,2010-12,033-250-3463,37.86068543,127.7368214,2019-07-29,4180000,강원도 춘천시
68,강원도,춘천시,춘천시,,강원도 춘천시 효자동 439-59,생활방범,1,200,360도전방면,30,2010-12,033-250-3463,37.87018353,127.729377,2019-07-29,4180000,강원도 춘천시
69,강원도,춘천시,춘천시,강원도 춘천시 애막골길3번길 10  (석사동),강원도 춘천시 석사동 740-12,생활방범,3,200,360도전방면,30,2015-01,033-250-3463,37.86590561,127.7507941,2019-07-29,4180000,강원도 춘천시
70,강원도,춘천시,춘천시,,강원도 춘천시 북산면 조교리 산1-40,생활방범,3,200,360도전방면,30,2015-01,033-250-3463,37.91084678,127.9784934,2019-07-29,4180000,강원도 춘천시
71,강원도,춘천시,춘천시,,강원도 춘천시 서면 금산리 1120-7,생활방범,3,200,360도전방면,30,2015-01,033-250-3463,37.89476493,127.6895831,2019-07-29,4180000,강원도 춘천시
72,강원도,춘천시,춘천시,강원도 춘천시 후석로 45  (석사동),강원도 춘천시 석사동 652-1,생활방범,3,200,360도전방면,30,2015-01,033-250-3463,37.85874112,127.7417833,2019-07-29,4180000,강원도 춘천시
73,강원도,춘천시,춘천시,,강원도 춘천시 효자동 471-92,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.87198873,127.7307571,2019-07-29,4180000,강원도 춘천시
74,강원도,춘천시,춘천시,강원도 춘천시 서부대성로206번길 7  (효자동),강원도 춘천시 효자동 767-22,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.87370554,127.7410038,2019-07-29,4180000,강원도 춘천시
75,강원도,춘천시,춘천시,강원도 춘천시 서부대성로206번길 19  (효자동),강원도 춘천시 효자동 769,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.87277594,127.7403023,2019-07-29,4180000,강원도 춘천시
76,강원도,춘천시,춘천시,강원도 춘천시 백령로25번길 22  (효자동),강원도 춘천시 효자동 174-58,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.86809142,127.736602,2019-07-29,4180000,강원도 춘천시
77,강원도,춘천시,춘천시,강원도 춘천시 서부대성로 332  (석사동  청구아파트),강원도 춘천시 석사동 727-6 청구아파트,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.86903007,127.7540912,2019-07-29,4180000,강원도 춘천시
78,강원도,춘천시,춘천시,,강원도 춘천시 후평동 481-7,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.87433547,127.749004,2019-07-29,4180000,강원도 춘천시
79,강원도,춘천시,춘천시,강원도 춘천시 만천로199번길 7-1  (후평동),강원도 춘천시 후평동 737-13,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.88612292,127.7542507,2019-07-29,4180000,강원도 춘천시
80,강원도,춘천시,춘천시,,강원도 춘천시 후평동 32-15,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.87361199,127.7520186,2019-07-29,4180000,강원도 춘천시
81,강원도,춘천시,춘천시,강원도 춘천시 삭주로94번길 13-11  (후평동),강원도 춘천시 후평동 852-14,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.88275398,127.7419727,2019-07-29,4180000,강원도 춘천시
82,강원도,춘천시,춘천시,,강원도 춘천시 후평동 879-3,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.87478821,127.758744,2019-07-29,4180000,강원도 춘천시
83,강원도,춘천시,춘천시,강원도 춘천시 후만로 29  (후평동),강원도 춘천시 후평동 481-4,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.87429788,127.7482766,2019-07-29,4180000,강원도 춘천시
84,강원도,춘천시,춘천시,,강원도 춘천시 후평동 808-2,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.87728587,127.7552347,2019-07-29,4180000,강원도 춘천시
85,강원도,춘천시,춘천시,강원도 춘천시 삭주로128번길 8-22  (후평동),강원도 춘천시 후평동 848-13,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.88383069,127.744038,2019-07-29,4180000,강원도 춘천시
86,강원도,춘천시,춘천시,,강원도 춘천시 후평동 896,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.87150967,127.7549468,2019-07-29,4180000,강원도 춘천시
87,강원도,춘천시,춘천시,,강원도 춘천시 후평동 898,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.87204599,127.7572298,2019-07-29,4180000,강원도 춘천시
88,강원도,춘천시,춘천시,,강원도 춘천시 후평동 897-1,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.87360174,127.7557584,2019-07-29,4180000,강원도 춘천시
89,강원도,춘천시,춘천시,,강원도 춘천시 동면 만천리 840-4,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.88418607,127.7588045,2019-07-29,4180000,강원도 춘천시
90,강원도,춘천시,춘천시,,강원도 춘천시 동면 지내리 132-2,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.90875627,127.7816171,2019-07-29,4180000,강원도 춘천시
91,강원도,춘천시,춘천시,,강원도 춘천시 신동면 증리 371-14,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.81629236,127.7139101,2019-07-29,4180000,강원도 춘천시
92,강원도,춘천시,춘천시,강원도 춘천시 퇴계공단1길 18  (퇴계동),강원도 춘천시 퇴계동 862,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.84674568,127.736473,2019-07-29,4180000,강원도 춘천시
93,강원도,춘천시,춘천시,,강원도 춘천시 퇴계동 103-11,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.8520635,127.7372496,2019-07-29,4180000,강원도 춘천시
94,강원도,춘천시,춘천시,,강원도 춘천시 퇴계동 797-5,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.85748845,127.7217977,2019-07-29,4180000,강원도 춘천시
95,강원도,춘천시,춘천시,강원도 춘천시 공원길 5  (퇴계동),강원도 춘천시 퇴계동 878-8,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.86159276,127.7237712,2019-07-29,4180000,강원도 춘천시
96,강원도,춘천시,춘천시,,강원도 춘천시 근화동 322-6,어린이보호,2,200,360도전방면,30,2012-03,033-250-3463,37.87323785,127.7139866,2019-07-29,4180000,강원도 춘천시
97,강원도,춘천시,춘천시,,강원도 춘천시 퇴계동 685-2,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.86709984,127.724535,2019-07-29,4180000,강원도 춘천시
98,강원도,춘천시,춘천시,,강원도 춘천시 퇴계동 32-2,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.84429217,127.7434468,2019-07-29,4180000,강원도 춘천시
99,강원도,춘천시,춘천시,강원도 춘천시 춘주로179번길 16-1  (퇴계동),강원도 춘천시 퇴계동 910-6,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.85986819,127.726096,2019-07-29,4180000,강원도 춘천시
100,강원도,춘천시,춘천시,강원도 춘천시 춘천로146번길 5  (운교동),강원도 춘천시 운교동 173-37,어린이보호,1,200,360도전방면,30,2010-10,033-250-3463,37.8753504,127.7311201,2019-07-29,4180000,강원도 춘천시
101,강원도,춘천시,춘천시,강원도 춘천시 전원길 24  (효자동),강원도 춘천시 효자동 744,어린이보호,1,200,360도전방면,30,2010-10,033-250-3463,37.87796897,127.7376242,2019-07-29,4180000,강원도 춘천시
102,강원도,춘천시,춘천시,,강원도 춘천시 교동 11-196,어린이보호,1,200,360도전방면,30,2010-10,033-250-3463,37.8815541,127.7371909,2019-07-29,4180000,강원도 춘천시
103,강원도,춘천시,춘천시,,강원도 춘천시 후평동 498-164,어린이보호,1,200,360도전방면,30,2010-10,033-250-3463,37.87766102,127.7451392,2019-07-29,4180000,강원도 춘천시
104,강원도,춘천시,춘천시,강원도 춘천시 성심로47번길 49-1  (후평동),강원도 춘천시 후평동 510-19,어린이보호,1,200,360도전방면,30,2010-10,033-250-3463,37.88174306,127.7453184,2019-07-29,4180000,강원도 춘천시
105,강원도,춘천시,춘천시,,강원도 춘천시 후평동 180-24,어린이보호,1,200,360도전방면,30,2010-10,033-250-3463,37.88976404,127.7547162,2019-07-29,4180000,강원도 춘천시
106,강원도,춘천시,춘천시,강원도 춘천시 동내면 거두택지길 63  (거두리),강원도 춘천시 동내면 거두리 1113-7,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.85495523,127.7581151,2019-07-29,4180000,강원도 춘천시
107,강원도,춘천시,춘천시,강원도 춘천시 효석로 103  (석사동),강원도 춘천시 석사동 658,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.85835007,127.7401368,2019-07-29,4180000,강원도 춘천시
108,강원도,춘천시,춘천시,강원도 춘천시 후석로 11-7  (석사동),강원도 춘천시 석사동 805,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.8565714,127.7384838,2019-07-29,4180000,강원도 춘천시
109,강원도,춘천시,춘천시,,강원도 춘천시 석사동 869,어린이보호,1,200,360도전방면,30,2012-03,033-250-3463,37.85211699,127.741079,2019-07-29,4180000,강원도 춘천시
