carat,cut,color,clarity,price,len,wid,dep
0.5,Very Good,G,SI1,1237,5.05,5.08,3.18
0.36,Ideal,H,SI1,538,4.58,4.59,2.86
0.76,Very Good,G,VVS2,3549,5.79,5.84,3.62
0.5,Ideal,H,VVS2,1608,5.14,5.21,3.12
0.31,Premium,D,SI2,593,4.34,4.31,2.66
0.8,Premium,D,SI2,3082,5.94,5.9,3.62
0.55,Very Good,J,VS2,1172,5.29,5.34,3.28
0.3,Ideal,F,VVS1,868,4.31,4.32,2.68
0.75,Ideal,J,VS1,2161,5.81,5.85,3.61
0.3,Good,G,VS1,605,4.25,4.31,2.72
0.36,Ideal,D,SI1,663,4.53,4.58,2.83
0.58,Very Good,F,VS2,1667,5.27,5.39,3.36
0.72,Ideal,E,VVS1,4864,5.74,5.79,3.54
0.42,Good,D,SI2,653,4.74,4.8,3.01
0.4,Ideal,F,VVS2,1163,4.74,4.72,2.92
1.52,Ideal,F,VS2,14915,7.42,7.31,4.6
1.05,Very Good,E,SI1,5494,6.49,6.56,4.06
0.34,Premium,G,SI2,574,4.46,4.43,2.79
1.13,Very Good,F,SI1,5481,6.67,6.76,4.07
0.31,Ideal,G,VVS1,1046,4.4,4.37,2.66
1.01,Very Good,F,VS2,6649,6.5,6.56,3.96
0.4,Ideal,F,SI1,945,4.7,4.68,2.95
0.71,Very Good,F,I1,1448,5.64,5.57,3.54
0.71,Good,I,VVS2,2283,5.68,5.63,3.6
0.32,Premium,D,VS2,758,4.34,4.38,2.69
1.23,Premium,H,VS2,5979,7,6.94,4.13
1.56,Ideal,G,VS2,12800,0,0,0
1.7,Ideal,F,SI1,10853,7.73,7.65,4.59
1.01,Ideal,G,VS1,7290,6.42,6.47,3.95
0.9,Premium,F,VS1,4687,6.33,6.29,3.72
0.35,Premium,H,VS1,614,4.45,4.5,2.8
0.71,Ideal,E,VS1,2923,5.71,5.74,3.57
0.3,Ideal,G,VS2,526,4.28,4.33,2.64
0.5,Very Good,H,VS1,1410,5.04,5.1,3.17
