"title" "point"
"1" "그린 북" "9.59"
"2" "가버나움" "9.59"
"3" "디지몬 어드벤처 라스트 에볼루션 : 인연" "9.59"
"4" "먼 훗날 우리" "9.56"
"5" "베일리 어게인" "9.53"
"6" "극장판 바이올렛 에버가든" "9.53"
"7" "아일라" "9.50"
"8" "원더" "9.49"
"9" "포드 V 페라리" "9.49"
"10" "당갈" "9.48"
"11" "주전장" "9.48"
"12" "부활: 그 증거" "9.46"
"13" "쇼생크 탈출" "9.44"
"14" "터미네이터 2:오리지널" "9.44"
"15" "덕구" "9.42"
"16" "라이언 일병 구하기" "9.42"
"17" "보헤미안 랩소디" "9.42"
"18" "월-E" "9.41"
"19" "나 홀로 집에" "9.41"
"20" "사운드 오브 뮤직" "9.41"
"21" "클래식" "9.40"
"22" "헬프" "9.40"
"23" "인생은 아름다워" "9.40"
"24" "매트릭스" "9.40"
"25" "포레스트 검프" "9.40"
"26" "빽 투 더 퓨쳐" "9.40"
"27" "살인의 추억" "9.40"
"28" "위대한 쇼맨" "9.40"
"29" "글래디에이터" "9.40"
"30" "소년시절의 너" "9.40"
"31" "센과 치히로의 행방불명" "9.39"
"32" "타이타닉" "9.39"
"33" "토이 스토리 3" "9.39"
"34" "그대, 고맙소 : 김호중 생애 첫 팬미팅 무비" "9.39"
"35" "어벤져스: 엔드게임" "9.38"
"36" "알라딘" "9.38"
"37" "헌터 킬러" "9.37"
"38" "죽은 시인의 사회" "9.37"
"39" "캐스트 어웨이" "9.37"
"40" "레옹" "9.37"
"41" "동주" "9.37"
"42" "반지의 제왕: 왕의 귀환" "9.37"
"43" "히든 피겨스" "9.37"
"44" "아이 캔 스피크" "9.37"
"45" "아이즈 온 미 : 더 무비" "9.37"
"46" "집으로..." "9.36"
"47" "쉰들러 리스트" "9.36"
"48" "서유기 2 - 선리기연" "9.36"
"49" "클레멘타인" "9.36"
"50" "여인의 향기" "9.36"
"51" "안녕 베일리" "9.36"
"52" "굿바이 마이 프랜드" "9.36"
"53" "주토피아" "9.35"
"54" "달링" "9.35"
"55" "굿 윌 헌팅" "9.35"
"56" "트루먼 쇼" "9.35"
"57" "브레이크 더 사일런스: 더 무비" "9.35"
"58" "모노노케 히메" "9.35"
"59" "에이리언 2" "9.35"
"60" "세 얼간이" "9.35"
"61" "미스 슬로운" "9.35"
"62" "울지마 톤즈" "9.35"
"63" "다시 태어나도 우리" "9.34"
"64" "지금, 만나러 갑니다" "9.34"
"65" "지상의 별처럼" "9.34"
"66" "더 록" "9.34"
"67" "반지의 제왕: 두 개의 탑" "9.34"
"68" "다크 나이트" "9.34"
"69" "아마데우스" "9.34"
"70" "그대를 사랑합니다" "9.33"
"71" "언터처블: 1%의 우정" "9.33"
"72" "나 홀로 집에 2 - 뉴욕을 헤매다" "9.33"
"73" "아이 엠 샘" "9.33"
"74" "라푼젤" "9.33"
"75" "미세스 다웃파이어" "9.33"
"76" "아이언 자이언트" "9.33"
"77" "알라딘" "9.32"
"78" "드래곤 길들이기" "9.32"
"79" "번 더 스테이지: 더 무비" "9.32"
"80" "러브 유어셀프 인 서울" "9.32"
"81" "미안해요, 리키" "9.32"
"82" "소원" "9.32"
"83" "빌리 엘리어트" "9.32"
"84" "프리퀀시" "9.32"
"85" "피아니스트" "9.32"
"86" "아기공룡 둘리 - 얼음별 대모험" "9.32"
"87" "시네마 천국" "9.32"
"88" "두 교황" "9.32"
"89" "해리 포터와 죽음의 성물 - 2부" "9.32"
"90" "오세암" "9.32"
"91" "업" "9.32"
"92" "패왕별희 디 오리지널" "9.32"
"93" "주먹왕 랄프" "9.32"
"94" "토이 스토리" "9.31"
"95" "모던 타임즈" "9.31"
"96" "폴란드로 간 아이들" "9.31"
"97" "블라인드 사이드" "9.31"
"98" "폴리스 스토리" "9.31"
"99" "로망" "9.31"
"100" "코러스" "9.31"
"101" "쥬라기 공원" "9.31"
"102" "에이 아이" "9.31"
"103" "언더독" "9.31"
"104" "프리 윌리" "9.31"
"105" "천공의 성 라퓨타" "9.31"
"106" "메리 포핀스" "9.31"
"107" "뷰티풀 투모로우" "9.30"
"108" "코코" "9.30"
"109" "바이센테니얼 맨" "9.30"
"110" "라따뚜이" "9.30"
"111" "해리 포터와 마법사의 돌" "9.30"
"112" "다이 하드" "9.30"
"113" "록키" "9.30"
"114" "우리들의 일그러진 영웅" "9.30"
"115" "교회오빠" "9.30"
"116" "몬스터 주식회사 3D" "9.29"
"117" "오페라의 유령 : 25주년 특별 공연" "9.29"
"118" "허스토리" "9.29"
"119" "라이온 킹" "9.29"
"120" "일급 살인" "9.29"
"121" "바람계곡의 나우시카" "9.29"
"122" "내 이름은 칸" "9.29"
"123" "영웅: 샐러멘더의 비밀" "9.29"
"124" "천녀유혼" "9.29"
"125" "퀸 락 몬트리올" "9.29"
"126" "동방불패" "9.29"
"127" "자백" "9.29"
"128" "타잔" "9.29"
"129" "뽀로로 극장판 보물섬 대모험" "9.29"
"130" "빌리 엘리어트 뮤지컬 라이브" "9.28"
"131" "엽기적인 그녀" "9.28"
"132" "8월의 크리스마스" "9.28"
"133" "늑대와 춤을" "9.28"
"134" "취권 2" "9.28"
"135" "반지의 제왕: 반지 원정대" "9.28"
"136" "나, 다니엘 블레이크" "9.28"
"137" "온리 더 브레이브" "9.28"
"138" "인생" "9.28"
"139" "세상에서 가장 아름다운 이별" "9.27"
"140" "집으로 가는 길" "9.27"
"141" "천국의 아이들" "9.27"
"142" "더 코브: 슬픈 돌고래의 진실" "9.27"
"143" "보디가드" "9.27"
"144" "명탐정 코난: 베이커가의 망령" "9.27"
"145" "맨발의 꿈" "9.27"
"146" "말할 수 없는 비밀" "9.27"
"147" "공동경비구역 JSA" "9.27"
"148" "바람" "9.27"
"149" "에이트 빌로우" "9.26"
"150" "시월애" "9.26"
"151" "마이클 잭슨의 디스 이즈 잇" "9.26"
"152" "도가니" "9.26"
"153" "플립" "9.26"
"154" "이웃집 토토로" "9.26"
"155" "브레이브하트" "9.26"
"156" "우리들" "9.26"
"157" "터미네이터" "9.26"
"158" "또 하나의 약속" "9.26"
"159" "로보캅" "9.25"
"160" "본 얼티메이텀" "9.25"
"161" "패밀리 맨" "9.25"
"162" "토이 스토리 2" "9.25"
"163" "드래곤 길들이기 3" "9.25"
"164" "신데렐라 맨" "9.25"
"165" "가타카" "9.25"
"166" "로미오와 줄리엣" "9.25"
"167" "피아니스트의 전설" "9.25"
"168" "가위손" "9.25"
"169" "트루맛쇼" "9.24"
"170" "쿨 러닝" "9.24"
"171" "하이 스쿨 뮤지컬: 졸업반" "9.24"
"172" "스파이 지니어스" "9.24"
"173" "인크레더블" "9.24"
"174" "광해, 왕이 된 남자" "9.24"
"175" "친정엄마" "9.24"
"176" "프린스 앤 프린세스" "9.24"
"177" "해바라기" "9.24"
"178" "아저씨" "9.24"
"179" "땐뽀걸즈" "9.24"
"180" "미녀와 야수" "9.24"
"181" "로마의 휴일" "9.24"
"182" "그랜 토리노" "9.24"
"183" "뷰티풀 마인드" "9.24"
"184" "천장지구" "9.24"
"185" "사랑은 비를 타고" "9.24"
"186" "러브 앳" "9.23"
"187" "투게더" "9.23"
"188" "위대한 독재자" "9.23"
"189" "인셉션" "9.23"
"190" "갓파 쿠와 여름방학을" "9.23"
"191" "극장판 헬로카봇 : 백악기 시대" "9.23"
"192" "리멤버 타이탄" "9.23"
"193" "마이너리티 리포트" "9.23"
"194" "님아, 그 강을 건너지 마오" "9.23"
"195" "빽 투 더 퓨쳐 2" "9.23"
"196" "킹콩을 들다" "9.23"
"197" "엽문" "9.23"
"198" "크루즈 패밀리" "9.23"
"199" "랜드 오브 마인" "9.23"
"200" "석양에 돌아오다" "9.23"
"201" "타인의 삶" "9.23"
"202" "브링 더 소울 : 더 무비" "9.23"
"203" "명탐정 코난: 천공의 난파선" "9.23"
"204" "말아톤" "9.23"
"205" "인크레더블 2" "9.23"
"206" "바람과 함께 사라지다" "9.23"
"207" "고 녀석 맛나겠다" "9.23"
"208" "페이스 오프" "9.23"
"209" "1987" "9.23"
"210" "아름다운 비행" "9.22"
"211" "스피릿" "9.22"
"212" "똥파리" "9.22"
"213" "미이라" "9.22"
"214" "레드슈즈" "9.22"
"215" "잉여들의 히치하이킹" "9.22"
"216" "콘택트" "9.22"
"217" "크림슨 타이드" "9.22"
"218" "니모를 찾아서 3D" "9.22"
"219" "맨 오브 오너" "9.22"
"220" "시스터 액트" "9.22"
"221" "러빙 빈센트" "9.21"
"222" "보루토 - 나루토 더 무비" "9.21"
"223" "백발마녀전" "9.21"
"224" "핵소 고지" "9.21"
"225" "테이큰" "9.21"
"226" "마지막 황제" "9.21"
"227" "대부 3" "9.21"
"228" "나비 효과" "9.21"
"229" "첫 키스만 50번째" "9.21"
"230" "서유기 - 월광보합" "9.21"
"231" "벤허" "9.21"
"232" "칼리토" "9.21"
"233" "쥬만지" "9.21"
"234" "대부 2" "9.21"
"235" "프레데터" "9.21"
"236" "페이트 스테이 나이트 헤븐즈필 III.스프링 송" "9.20"
"237" "라이언" "9.20"
"238" "캐치 미 이프 유 캔" "9.20"
"239" "스파이더맨: 뉴 유니버스" "9.20"
"240" "어메이징 메리" "9.20"
"241" "스쿨 오브 락" "9.20"
"242" "이티" "9.20"
"243" "어느 가족" "9.20"
"244" "내 어깨 위 고양이, 밥" "9.20"
"245" "특전 유보트" "9.20"
"246" "슈퍼소닉" "9.20"
"247" "톰보이" "9.20"
"248" "라디오 스타" "9.20"
"249" "공공의 적" "9.20"
"250" "시간을 달리는 소녀" "9.20"
"251" "태극기 휘날리며" "9.20"
"252" "빅" "9.20"
"253" "혹성탈출" "9.20"
"254" "밴디트" "9.20"
"255" "눈의 여왕4" "9.20"
