Country Name,Country Code,Continent,GDP,Life Expectation,OECD
Aruba,ABW,South America,25630.26649,76.152,FALSE
Afghanistan,AFG,Africa,520.8966027,64.486,FALSE
Angola,AGO,Africa,3432.385736,60.782,FALSE
Albania,ALB,Europe,5268.848504,78.458,FALSE
United Arab Emirates,ARE,Middle East,43004.95336,77.814,FALSE
Argentina,ARG,South America,11683.94962,76.52,FALSE
Armenia,ARM,Europe,4212.070943,74.945,FALSE
Antigua and Barbuda,ATG,South America,16726.98081,76.885,FALSE
Australia,AUS,Oceania,57373.68668,82.74878049,TRUE
Austria,AUT,Europe,51461.95478,81.64390244,TRUE
Azerbaijan,AZE,Europe,4721.178087,72.864,FALSE
Burundi,BDI,Africa,271.7520444,61.247,FALSE
Belgium,BEL,Europe,47518.63604,81.59512195,TRUE
Benin,BEN,Africa,901.5438712,61.47,FALSE
Burkina Faso,BFA,Africa,715.122904,61.174,FALSE
Bangladesh,BGD,Asia,1698.262802,72.32,FALSE
Bulgaria,BGR,Europe,9272.629304,74.86585366,FALSE
Bahrain,BHR,Asia,24050.75751,77.163,FALSE
"Bahamas, The",BHS,North America,32217.87159,73.752,FALSE
Bosnia and Herzegovina,BIH,Europe,6065.672708,77.262,FALSE
Belarus,BLR,Europe,6289.938553,74.17560976,FALSE
Belize,BLZ,North America,4884.742421,74.496,FALSE
Bermuda,BMU,North America,85748.06541,81.65170732,FALSE
Bolivia,BOL,South America,3548.59014,71.239,FALSE
Brazil,BRA,South America,8920.762105,75.672,FALSE
Barbados,BRB,South America,17949.28151,79.081,FALSE
Brunei Darussalam,BRN,Asia,31628.32879,75.722,FALSE
Bhutan,BTN,Asia,3243.231125,71.46,FALSE
Botswana,BWA,Africa,8258.641666,69.275,FALSE
Canada,CAN,North America,46232.98962,81.94878049,TRUE
Switzerland,CHE,Europe,82796.54716,83.55121951,TRUE
Channel Islands,CHI,Europe,74462.64675,82.928,FALSE
Chile,CHL,South America,15923.35874,80.042,TRUE
China,CHN,Asia,9770.847088,76.704,FALSE
Cote d'Ivoire,CIV,Africa,1715.531332,57.422,FALSE
Cameroon,CMR,Africa,1533.74214,58.921,FALSE
"Congo, Dem. Rep.",COD,Africa,561.7771824,60.368,FALSE
"Congo, Rep.",COG,Africa,2147.769461,64.29,FALSE
Colombia,COL,South America,6667.7907,77.109,TRUE
Comoros,COM,Africa,1415.263622,64.118,FALSE
Cabo Verde,CPV,Africa,3635.40685,72.782,FALSE
Costa Rica,CRI,North America,12027.36588,80.095,FALSE
Cuba,CUB,North America,8821.818891,78.726,FALSE
Cyprus,CYP,Europe,28689.69858,80.828,FALSE
Czech Republic,CZE,Europe,23078.57349,78.97804878,TRUE
Germany,DEU,Europe,47603.02763,80.99268293,TRUE
Djibouti,DJI,Africa,3082.543099,66.582,FALSE
Denmark,DNK,Europe,61350.34791,81.35121951,TRUE
Dominican Republic,DOM,North America,8050.631602,73.892,FALSE
Algeria,DZA,Africa,4114.715061,76.693,FALSE
Ecuador,ECU,South America,6344.871979,76.8,FALSE
"Egypt, Arab Rep.",EGY,Africa,2549.132252,71.825,FALSE
Eritrea,ERI,Africa,811.3760286,65.941,FALSE
Spain,ESP,Europe,30370.89233,83.33414634,TRUE
Estonia,EST,Europe,23266.34627,78.54390244,TRUE
Ethiopia,ETH,Africa,772.3135303,66.24,FALSE
Finland,FIN,Europe,50152.34014,81.83414634,TRUE
Fiji,FJI,Oceania,6266.967965,67.341,FALSE
France,FRA,Europe,41463.64402,82.52682927,TRUE
Faroe Islands,FRO,Europe,55822.91472,82.54878049,FALSE
"Micronesia, Fed. Sts.",FSM,Oceania,3568.290829,67.755,FALSE
Gabon,GAB,Africa,7952.525893,66.187,FALSE
United Kingdom,GBR,Europe,42943.90227,81.35609756,TRUE
Georgia,GEO,Europe,4717.143026,73.6,FALSE
Ghana,GHA,Africa,2202.312164,63.78,FALSE
Guinea,GIN,Africa,878.5996133,61.185,FALSE
"Gambia, The",GMB,Africa,716.118489,61.735,FALSE
Guinea-Bissau,GNB,Africa,777.9699218,58.003,FALSE
Greece,GRC,Europe,20324.25356,81.28780488,TRUE
Grenada,GRD,South America,10640.49676,72.384,FALSE
Guatemala,GTM,South America,4549.010081,74.063,FALSE
Guam,GUM,Asia,35712.56214,79.859,FALSE
Guyana,GUY,South America,4979.002188,69.774,FALSE
Hong Kong,HKG,Asia,48675.61646,84.93414634,FALSE
Honduras,HND,South America,2500.113213,75.088,FALSE
Croatia,HRV,Europe,14909.69319,78.07073171,FALSE
Haiti,HTI,South America,868.3420247,63.66,FALSE
Hungary,HUN,Europe,16161.98051,75.81707317,TRUE
Indonesia,IDN,Asia,3893.596078,71.509,FALSE
India,IND,Middle East,2009.978857,69.416,FALSE
Ireland,IRL,Europe,78806.432,82.60731707,TRUE
Iran,IRN,Middle East,5627.749268,76.479,FALSE
Iraq,IRQ,Africa,5834.166211,70.454,FALSE
Iceland,ISL,Europe,73191.11632,82.66097561,TRUE
Israel,ISR,Middle East,41715.02928,82.80243902,TRUE
Italy,ITA,Europe,34483.204,82.94634146,TRUE
Jamaica,JAM,Africa,5354.236859,74.368,FALSE
Jordan,JOR,Africa,4241.788782,74.405,FALSE
Japan,JPN,Asia,39289.95843,84.21097561,TRUE
Kazakhstan,KAZ,Asia,9812.601137,73.15,FALSE
Kenya,KEN,Africa,1710.510097,66.342,FALSE
Kyrgyz Republic,KGZ,Asia,1281.363661,71.4,FALSE
Cambodia,KHM,Asia,1510.324871,69.57,FALSE
Kiribati,KIR,Oceania,1625.2861,68.116,FALSE
