산업분야1,최종학력1,전공계열1,W628_01,W628_02,W628_03,W628_04,W627_04,W627_05,W627_06,W627_07,만족도,기업문화
금융업,4년제졸,인문계열,5,5,5,5,5,5,5,5,5,5
금융업,4년제졸,사회계열,5,5,5,5,4,4,4,4,5,4
금융업,4년제졸,사회계열,5,4,5,5,4,4,4,4,4.75,4
금융업,4년제졸,자연계열,5,4,5,4,4,4,4,4,4.5,4
금융업,4년제졸,공학계열,4,4,4,5,4,4,4,4,4.25,4
금융업,기타 실업고졸,NA,5,5,5,5,5,4,5,5,5,4.75
금융업,4년제졸,사회계열,4,4,4,4,4,5,5,5,4,4.75
금융업,4년제졸,인문계열,3,2,3,3,2,3,3,4,2.75,3
금융업,전문대졸,인문계열,5,5,5,4,4,4,4,4,4.75,4
금융업,4년제졸,공학계열,4,4,4,4,5,5,5,5,4,5
금융업,4년제졸,사회계열,4,4,4,4,4,4,4,4,4,4
금융업,박사졸,사회계열,4,4,4,4,4,5,4,5,4,4.5
금융업,4년제졸,사회계열,5,5,5,5,3,4,3,4,5,3.5
금융업,4년제졸,사회계열,4,4,4,4,3,4,4,4,4,3.75
금융업,4년제졸,자연계열,4,4,4,4,3,4,4,4,4,3.75
금융업,4년제졸,사회계열,4,4,4,4,3,4,4,4,4,3.75
금융업,4년제졸,사회계열,5,2,5,5,5,5,5,5,4.25,5
금융업,석사졸,인문계열,4,4,4,4,4,5,5,5,4,4.75
금융업,석사졸,인문계열,4,4,4,4,3,4,4,4,4,3.75
금융업,4년제졸,공학계열,5,4,5,4,5,5,5,5,4.5,5
금융업,4년제졸,인문계열,3,3,3,3,4,4,4,4,3,4
금융업,4년제졸,인문계열,4,4,4,4,4,5,5,5,4,4.75
금융업,4년제졸,인문계열,5,5,5,4,5,5,5,5,4.75,5
금융업,4년제졸,인문계열,5,5,5,5,5,5,5,5,5,5
금융업,석사졸,사회계열,5,5,5,5,4,5,4,4,5,4.25
금융업,4년제졸,인문계열,4,4,5,5,4,5,5,5,4.5,4.75
제조업,4년제졸,인문계열,4,4,4,4,4,4,4,4,4,4
제조업,4년제졸,사회계열,4,4,4,4,4,4,4,4,4,4
제조업,4년제졸,인문계열,4,4,4,4,4,4,4,4,4,4
제조업,4년제졸,자연계열,4,4,4,4,4,4,4,4,4,4
제조업,4년제졸,인문계열,4,4,4,4,4,3,5,4,4,4
제조업,4년제졸,사회계열,4,4,4,4,4,3,3,3,4,3.25
제조업,4년제졸,사회계열,4,1,3,3,2,2,2,2,2.75,2
제조업,4년제졸,사회계열,4,4,4,4,3,4,4,4,4,3.75
제조업,4년제졸,인문계열,3,3,3,3,3,3,3,3,3,3
제조업,4년제졸,자연계열,4,4,5,4,5,5,5,5,4.25,5
제조업,4년제졸,자연계열,4,4,4,4,4,4,4,4,4,4
제조업,4년제졸,자연계열,4,4,4,4,4,4,4,4,4,4
제조업,4년제졸,사회계열,5,3,4,4,4,4,4,4,4,4
제조업,4년제졸,자연계열,4,4,4,4,4,4,4,4,4,4
제조업,4년제졸,기타,4,2,4,3,3,4,4,4,3.25,3.75
제조업,석사졸,자연계열,4,4,4,4,5,5,5,5,4,5
제조업,4년제졸,공학계열,5,4,4,4,4,5,5,5,4.25,4.75
제조업,4년제졸,공학계열,4,3,4,4,3,3,4,4,3.75,3.5
제조업,4년제졸,공학계열,4,4,4,4,3,3,4,4,4,3.5
제조업,4년제졸,자연계열,5,4,5,5,4,4,5,5,4.75,4.5
제조업,4년제졸,자연계열,4,4,4,4,3,3,4,5,4,3.75
제조업,4년제졸,자연계열,4,3,3,4,4,4,4,4,3.5,4
제조업,4년제졸,자연계열,4,4,4,4,2,4,5,5,4,4
제조업,4년제졸,공학계열,5,4,5,5,4,4,5,5,4.75,4.5
제조업,4년제졸,공학계열,4,4,3,3,3,4,3,5,3.5,3.75
