성별1,자격증,W628_01,W628_02,W628_03,W628_04,W629_02,W629_03,W629_04,만족도,조직몰입
남,아니오,5,5,5,5,4,4,4,5,4
남,아니오,5,5,5,5,4,4,4,5,4
남,아니오,5,4,5,5,4,5,5,4.75,4.666666667
여,아니오,5,4,5,4,4,5,4,4.5,4.333333333
남,아니오,4,4,4,5,5,5,5,4.25,5
남,예,5,5,5,5,5,5,5,5,5
남,아니오,4,4,4,4,1,4,4,4,3
여,예,3,2,3,3,3,3,3,2.75,3
여,아니오,5,5,5,4,4,3,3,4.75,3.333333333
남,아니오,4,4,4,4,5,4,4,4,4.333333333
여,아니오,4,4,4,4,4,4,4,4,4
남,아니오,4,4,4,4,4,3,4,4,3.666666667
남,아니오,5,5,5,5,4,4,4,5,4
남,아니오,4,4,4,4,4,3,4,4,3.666666667
여,아니오,4,4,4,4,4,4,3,4,3.666666667
여,아니오,4,4,4,4,4,3,4,4,3.666666667
여,아니오,5,2,5,5,4,4,4,4.25,4
남,아니오,4,4,4,4,4,3,3,4,3.333333333
남,아니오,4,4,4,4,3,3,3,4,3
남,아니오,5,4,5,4,4,4,5,4.5,4.333333333
남,아니오,3,3,3,3,3,4,3,3,3.333333333
남,아니오,4,4,4,4,5,3,4,4,4
남,아니오,5,5,5,4,5,4,4,4.75,4.333333333
남,아니오,5,5,5,5,5,1,5,5,3.666666667
남,예,5,5,5,5,5,5,5,5,5
남,예,4,4,5,5,4,3,3,4.5,3.333333333
남,아니오,4,4,4,4,5,5,5,4,5
남,예,4,4,4,4,4,4,4,4,4
남,아니오,4,4,4,4,4,3,3,4,3.333333333
남,예,4,4,4,4,4,4,4,4,4
남,아니오,4,4,4,4,4,3,4,4,3.666666667
남,아니오,4,4,4,4,4,4,4,4,4
남,예,4,1,3,3,4,2,3,2.75,3
남,아니오,4,4,4,4,5,2,4,4,3.666666667
남,아니오,3,3,3,3,3,3,3,3,3
남,아니오,4,4,5,4,4,4,4,4.25,4
남,아니오,4,4,4,4,4,3,4,4,3.666666667
남,아니오,4,4,4,4,4,2,4,4,3.333333333
남,아니오,5,3,4,4,4,4,3,4,3.666666667
남,아니오,4,4,4,4,4,2,3,4,3
남,아니오,4,2,4,3,4,3,4,3.25,3.666666667
남,아니오,4,4,4,4,5,4,5,4,4.666666667
남,예,5,4,4,4,4,4,5,4.25,4.333333333
남,아니오,4,3,4,4,4,4,4,3.75,4
남,예,4,4,4,4,4,4,4,4,4
남,예,5,4,5,5,5,2,5,4.75,4
